,date,team_1,team_2,t1_avg_r,t1_avg_acs,t1_avg_k,t1_avg_d,t1_avg_a,t1_avg_kast,t1_avg_adr,t1_avg_hs,t1_avg_fk,t1_avg_fd,t1_top_k_diff,t1_top_fk_diff,t1_bot_k_diff,t1_bot_fk_diff,t2_avg_r,t2_avg_acs,t2_avg_k,t2_avg_d,t2_avg_a,t2_avg_kast,t2_avg_adr,t2_avg_hs,t2_avg_fk,t2_avg_fd,t2_top_k_diff,t2_top_fk_diff,t2_bot_k_diff,t2_bot_fk_diff,winner,t1_avg_r_rolling,t1_avg_acs_rolling,t1_avg_k_rolling,t1_avg_d_rolling,t1_avg_a_rolling,t1_avg_kast_rolling,t1_avg_adr_rolling,t1_avg_hs_rolling,t1_avg_fk_rolling,t1_avg_fd_rolling,t1_top_k_diff_rolling,t1_top_fk_diff_rolling,t1_bot_k_diff_rolling,t1_bot_fk_diff_rolling,t2_avg_r_rolling,t2_avg_acs_rolling,t2_avg_k_rolling,t2_avg_d_rolling,t2_avg_a_rolling,t2_avg_kast_rolling,t2_avg_adr_rolling,t2_avg_hs_rolling,t2_avg_fk_rolling,t2_avg_fd_rolling,t2_top_k_diff_rolling,t2_top_fk_diff_rolling,t2_bot_k_diff_rolling,t2_bot_fk_diff_rolling,opp_code
0,2021-10-29,100 Thieves,Rise,0.9840000000000002,198.6,49.4,50.0,17.8,70.8,133.6,23.0,6.4,7.8,4.0,1.0,-14.0,-5.0,1.0219999999999998,203.0,50.0,49.4,20.0,70.4,133.0,22.4,7.8,6.4,8.0,8.0,-3.0,-2.0,1,1.124,211.2,47.4,39.099999999999994,17.6,76.30000000000001,141.0,23.6,6.3,6.300000000000001,14.5,5.0,-6.5,-3.5,0.8699999999999999,178.39999999999998,39.099999999999994,47.4,14.1,62.2,118.1,23.200000000000003,6.300000000000001,6.3,3.0,6.5,-21.5,-4.0,12
1,2021-10-30,100 Thieves,Cloud9,0.9359999999999999,193.4,43.6,49.4,17.8,68.6,134.6,24.4,5.4,7.8,11.0,3.0,-19.0,-6.0,1.078,214.4,49.4,43.6,19.4,75.0,141.2,19.4,7.8,5.4,21.0,7.0,-1.0,-2.0,1,1.0190000000000001,202.6,48.4,46.2,16.9,73.1,136.2,23.2,6.5,7.1,7.5,2.0,-12.0,-3.5,0.9809999999999999,195.3,46.2,48.4,18.1,67.7,128.0,21.5,7.1,6.5,8.0,5.5,-11.5,-2.5,1
2,2022-08-05,100 Thieves,NRG Esports,1.116,217.6,50.6,43.6,25.2,76.0,142.2,27.6,7.4,6.2,19.0,4.0,-7.0,-2.0,0.9339999999999999,190.0,43.6,50.6,19.2,68.0,125.2,24.8,6.2,7.4,6.0,9.0,-18.0,-9.0,0,0.9600000000000001,196.0,46.5,49.7,17.8,69.69999999999999,134.1,23.7,5.9,7.8,7.5,2.0,-16.5,-5.5,1.0499999999999998,208.7,49.7,46.5,19.7,72.7,137.1,20.9,7.8,5.9,14.5,7.5,-2.0,-2.0,11
3,2022-08-07,100 Thieves,FaZe Clan,0.954,191.0,40.2,45.2,18.8,69.6,122.2,24.8,6.2,6.2,6.0,4.0,-20.0,-4.0,1.04,207.2,45.2,40.4,13.6,73.4,134.4,28.6,6.2,6.2,26.0,5.0,-9.0,-5.0,1,1.026,205.5,47.1,46.5,21.5,72.3,138.39999999999998,26.0,6.4,7.0,15.0,3.5,-13.0,-4.0,1.006,202.2,46.5,47.1,19.299999999999997,71.5,133.2,22.1,7.0,6.4,13.5,8.0,-9.5,-5.5,4
4,2022-08-11,100 Thieves,Sentinels,1.082,207.2,54.4,50.2,20.4,71.4,133.4,25.4,7.4,7.8,19.0,7.0,-11.0,-5.0,0.958,197.4,50.2,54.4,25.0,67.2,131.8,24.8,7.8,7.4,20.0,11.0,-23.0,-4.0,0,1.0350000000000001,204.3,45.400000000000006,44.400000000000006,22.0,72.8,132.2,26.200000000000003,6.800000000000001,6.2,12.5,4.0,-13.5,-3.0,0.987,198.6,44.400000000000006,45.5,16.4,70.7,129.8,26.700000000000003,6.2,6.800000000000001,16.0,7.0,-13.5,-7.0,13
5,2022-08-12,100 Thieves,Cloud9,1.168,209.2,31.2,27.4,15.4,72.2,136.0,25.4,4.2,4.4,12.0,2.0,-8.0,-1.0,0.8739999999999999,186.8,27.4,31.2,13.8,68.2,118.6,20.6,4.4,4.2,3.0,3.0,-12.0,-4.0,0,1.018,199.1,47.3,47.7,19.6,70.5,127.80000000000001,25.1,6.800000000000001,7.0,12.5,5.5,-15.5,-4.5,0.999,202.3,47.7,47.4,19.299999999999997,70.30000000000001,133.10000000000002,26.700000000000003,7.0,6.800000000000001,23.0,8.0,-16.0,-4.5,1
6,2022-08-13,100 Thieves,FaZe Clan,1.206,223.0,46.2,35.4,17.2,79.2,142.4,32.0,6.6,5.0,27.0,7.0,-4.0,-5.0,0.778,183.2,35.4,46.2,12.2,64.6,118.4,29.8,5.0,6.6,-7.0,4.0,-18.0,-5.0,0,1.125,208.2,42.8,38.8,17.9,71.80000000000001,134.70000000000002,25.4,5.800000000000001,6.1,15.5,4.5,-9.5,-3.0,0.9159999999999999,192.10000000000002,38.8,42.8,19.4,67.7,125.2,22.700000000000003,6.1,5.800000000000001,11.5,7.0,-17.5,-4.0,4
7,2022-08-14,100 Thieves,The Guard,1.1560000000000001,220.8,48.6,39.4,19.4,80.2,145.6,25.0,6.4,5.8,19.0,6.0,-8.0,-3.0,0.842,188.4,39.4,48.6,16.0,69.8,118.4,26.4,5.8,6.4,3.0,2.0,-21.0,-3.0,0,1.1869999999999998,216.1,38.7,31.4,16.3,75.7,139.2,28.7,5.4,4.7,19.5,4.5,-6.0,-3.0,0.826,185.0,31.4,38.7,12.999999999999998,66.4,118.5,25.200000000000003,4.7,5.4,-2.0,3.5,-15.0,-4.5,15
8,2023-04-01,100 Thieves,Sentinels,0.952,185.4,48.8,56.0,23.6,68.2,121.2,24.0,9.2,6.0,4.0,9.0,-12.0,-3.0,1.09,214.8,56.0,48.8,26.2,74.4,143.0,24.0,6.0,9.2,18.0,3.0,-7.0,-8.0,1,1.181,221.9,47.4,37.4,18.3,79.7,144.0,28.5,6.5,5.4,23.0,6.5,-6.0,-4.0,0.81,185.8,37.4,47.4,14.099999999999998,67.19999999999999,118.4,28.1,5.4,6.5,-2.0,3.0,-19.5,-4.0,13
9,2023-04-10,100 Thieves,Evil Geniuses,1.2440000000000002,224.0,32.2,23.6,14.4,77.8,146.8,21.2,4.2,3.8,19.0,2.0,1.0,-1.0,0.52,85.0,10.0,31.0,15.0,63.0,68.0,28.0,0.0,3.0,-1.0,6.0,-21.0,-6.0,0,1.054,203.10000000000002,48.699999999999996,47.7,21.5,74.2,133.4,24.5,7.8,5.9,11.5,7.5,-10.0,-3.0,0.966,201.60000000000002,47.7,48.699999999999996,21.099999999999998,72.1,130.7,25.2,5.9,7.8,10.5,2.5,-14.0,-5.5,2
10,2023-04-15,100 Thieves,Cloud9,0.906,193.4,30.6,34.6,12.8,68.4,128.8,25.6,3.0,6.2,4.0,0.0,-8.0,-8.0,1.124,206.8,34.6,30.6,16.2,77.0,141.6,22.8,6.2,3.0,9.0,9.0,-3.0,-1.0,1,1.098,204.7,40.5,39.8,19.0,73.0,134.0,22.6,6.699999999999999,4.9,11.5,5.5,-5.5,-2.0,0.8049999999999999,149.9,33.0,39.89999999999999,20.599999999999998,68.7,105.5,26.0,3.0,6.1,8.5,4.5,-14.0,-7.0,1
11,2023-04-22,100 Thieves,KRÜ Esports,1.032,197.4,40.4,43.4,17.8,69.8,134.6,24.2,6.2,5.6,7.0,3.0,-18.0,-2.0,1.0159999999999998,208.4,43.4,40.4,24.0,76.6,137.0,25.0,5.6,6.2,11.0,2.0,-13.0,-4.0,0,1.0750000000000002,208.7,31.4,29.1,13.600000000000001,73.1,137.8,23.4,3.6,5.0,11.5,1.0,-3.5,-4.5,0.8220000000000001,145.9,22.3,30.799999999999997,15.599999999999998,70.0,104.8,25.4,3.1,3.0,4.0,7.5,-12.0,-3.5,7
12,2023-04-24,100 Thieves,Leviatán,1.034,199.4,50.8,50.6,26.2,75.6,129.8,23.4,7.4,7.8,6.0,3.0,-5.0,-7.0,1.0,190.8,50.6,50.8,18.6,72.2,126.0,27.6,7.8,7.4,3.0,7.0,-4.0,-6.0,0,0.9690000000000001,195.4,35.5,39.0,15.3,69.1,131.70000000000002,24.9,4.6,5.9,5.5,1.5,-13.0,-5.0,1.0699999999999998,207.60000000000002,39.0,35.5,20.099999999999998,76.8,139.3,23.9,5.9,4.6,10.0,5.5,-8.0,-2.5,9
13,2023-04-29,100 Thieves,NRG Esports,0.792,184.8,22.0,29.8,11.6,71.2,124.0,26.8,2.8,4.4,1.0,1.0,-14.0,-4.0,1.2479999999999998,228.0,29.8,22.0,14.8,81.8,151.2,23.0,4.4,2.8,18.0,5.0,-3.0,-1.0,1,1.033,198.4,45.599999999999994,47.0,22.0,72.69999999999999,132.20000000000002,23.799999999999997,6.800000000000001,6.699999999999999,6.5,3.0,-11.5,-4.5,1.008,199.60000000000002,47.0,45.599999999999994,21.299999999999997,74.4,131.5,26.3,6.699999999999999,6.800000000000001,7.0,4.5,-8.5,-5.0,11
14,2023-05-07,100 Thieves,LOUD,0.9100000000000001,177.8,28.4,32.4,14.0,71.0,121.0,25.6,4.8,4.4,8.0,6.0,-10.0,-5.0,1.1280000000000001,208.4,32.4,28.4,15.4,73.4,132.2,19.6,4.4,4.8,26.0,2.0,-11.0,-2.0,1,0.913,192.10000000000002,36.39999999999999,40.2,18.9,73.4,126.90000000000002,25.1,5.1,6.1,3.5,2.0,-9.5,-5.5,1.1239999999999999,209.4,40.2,36.39999999999999,16.7,77.0,138.6,25.3,6.1,5.1,10.5,6.0,-3.5,-3.5,8
